co_owned,southj,centralj,pa1,pa2,wage_st,hrsopen,wage_st2,hrsopen2,emptot,emptot2,nj,pa,bk,kfc,roys,wendys,pmeal,pmeal2,closed
0,0,0,1,0,NA,16.5,4.300000190734863,16.5,40.5,24,0,1,1,0,0,0,2.5799999237060547,NA,0
0,0,0,1,0,NA,13,4.449999809265137,13,13.75,11.5,0,1,0,1,0,0,4.259999752044678,4.25,0
1,0,0,1,0,NA,10,5,11,8.5,10.5,0,1,0,1,0,0,4.019999980926514,4.019999980926514,0
1,0,0,1,0,5,12,5.25,12,34,20,0,1,0,0,0,1,3.4800000190734863,2.5799999237060547,0
1,0,0,1,0,5.5,12,4.75,12,24,35.5,0,1,0,0,0,1,3.2899999618530273,2.799999952316284,0
1,0,0,1,0,5,12,NA,12,20.5,NA,0,1,0,0,0,1,2.5899999141693115,NA,0
0,0,0,0,1,5,18,4.75,18,70.5,29,0,1,1,0,0,0,2.859999895095825,2.8399999141693115,0
0,0,0,0,1,5,24,5,24,23.5,36.5,0,1,1,0,0,0,2.8499999046325684,2.8899998664855957,0
1,0,0,0,1,5.25,10,5,11,11,11,0,1,0,1,0,0,3.7799999713897705,4.099999904632568,0
1,0,0,1,0,5,10,5,10.5,9,8.5,0,1,0,1,0,0,3.990000009536743,3.9499998092651367,0
1,0,0,0,1,5,12.5,4.75,12,15.5,17.5,0,1,0,0,1,0,3.1700000762939453,2.9099998474121094,0
0,0,0,0,1,5,18,5,18,58,29,0,1,1,0,0,0,2.8399999141693115,2.6700000762939453,0
0,0,0,0,1,5,18,4.5,18,26.5,30.5,0,1,1,0,0,0,2.5999999046325684,2.5999999046325684,0
0,0,0,0,1,5.5,18,4.75,18,28.5,26,0,1,1,0,0,0,2.75,2.809999942779541,0
0,0,0,0,1,5,12.5,4.5,13,13.5,18,0,1,1,0,0,0,3.119999885559082,2.9700000286102295,0
1,0,0,0,1,5.25,10,5,11,16.75,20,0,1,0,1,0,0,4.21999979019165,4,0
1,0,0,0,1,5,10,4.75,11,9.5,13.5,0,1,0,1,0,0,3.990000009536743,4.019999980926514,0
1,0,0,0,1,5,11.5,4.75,11,15,19,0,1,0,0,1,0,2.9700000286102295,3,0
0,0,0,0,1,5,16,4.75,15,29.5,15.5,0,1,0,0,1,0,2.8499999046325684,2.9600000381469727,0
0,0,0,0,1,5,14,4.25,11.5,18.5,14.5,0,1,0,0,1,0,3,3.069999933242798,0
1,0,0,0,1,5,16,5,16,20.25,14,0,1,0,0,1,0,3.109999895095825,3.069999933242798,0
1,0,0,1,0,5,16,4.900000095367432,16,36,19,0,1,0,0,1,0,3.9600000381469727,2.869999885559082,0
0,0,0,0,1,5,15,5,16,21,21,0,1,0,0,1,0,3,2.9800000190734863,0
1,0,0,0,1,5,16,4.75,16,20.5,18,0,1,0,0,1,0,2.679999828338623,2.9099998474121094,0
1,0,0,0,1,5,12,5,12,19,20.5,0,1,0,0,0,1,3.3399999141693115,2.5299999713897705,0
1,0,0,0,1,5,16,4.25,15.5,14,13.5,0,1,0,0,1,0,3.1599998474121094,2.950000047683716,0
1,0,0,0,1,5,16,4.75,16,19,17.5,0,1,0,0,1,0,3.1499998569488525,2.9600000381469727,0
0,0,0,1,0,4.25,16.5,4.25,16.5,32.5,25.5,0,1,1,0,0,0,2.6599998474121094,2.680000066757202,0
0,0,0,1,0,4.25,17.5,NA,16.5,19,15.5,0,1,1,0,0,0,2.2799999713897705,NA,0
