state,year,deaths,births,death.rate,state.abb,Implemented
Alabama,2009,517,62475,8.28,AL,
Alabama,2010,524,60050,8.73,AL,
Alabama,2011,488,59354,8.22,AL,
Alabama,2012,519,58448,8.88,AL,
Alabama,2013,500,58167,8.6,AL,
Alabama,2014,515,59422,8.67,AL,
Alabama,2015,496,59657,8.31,AL,
Alabama,2016,534,59151,9.03,AL,
Alabama,2017,435,58941,7.38,AL,
Alabama,2018,401,57761,6.94,AL,
Alabama,2019,452,58615,7.71,AL,
Alabama,2020,403,57647,6.99,AL,
Alabama,2021,439,58054,7.56,AL,
Alabama,2022,389,58149,6.69,AL,
Alaska,2009,78,11324,6.89,AK,2015
Alaska,2010,41,11471,3.57,AK,2015
Alaska,2011,44,11456,3.84,AK,2015
Alaska,2012,57,11187,5.1,AK,2015
Alaska,2013,66,11446,5.77,AK,2015
Alaska,2014,76,11392,6.67,AK,2015
Alaska,2015,78,11282,6.91,AK,2015
Alaska,2016,58,11209,5.17,AK,2015
Alaska,2017,60,10445,5.74,AK,2015
Alaska,2018,63,10086,6.25,AK,2015
Alaska,2019,49,9822,4.99,AK,2015
Alaska,2020,48,9469,5.07,AK,2015
Alaska,2021,69,9367,7.37,AK,2015
Alaska,2022,62,9359,6.62,AK,2015
Arizona,2009,554,92798,5.97,AZ,2014
Arizona,2010,520,87477,5.94,AZ,2014
Arizona,2011,511,85543,5.97,AZ,2014
Arizona,2012,500,86441,5.78,AZ,2014
Arizona,2013,449,85600,5.25,AZ,2014
Arizona,2014,530,86887,6.1,AZ,2014
Arizona,2015,467,85351,5.47,AZ,2014
Arizona,2016,450,84520,5.32,AZ,2014
Arizona,2017,467,81872,5.7,AZ,2014
Arizona,2018,461,80723,5.71,AZ,2014
Arizona,2019,431,79375,5.43,AZ,2014
Arizona,2020,399,76947,5.19,AZ,2014
Arizona,2021,426,77916,5.47,AZ,2014
Arizona,2022,485,78547,6.17,AZ,2014
Arkansas,2009,301,39808,7.56,AR,2014
Arkansas,2010,279,38540,7.24,AR,2014
Arkansas,2011,282,38715,7.28,AR,2014
Arkansas,2012,271,38347,7.07,AR,2014
Arkansas,2013,297,37832,7.85,AR,2014
Arkansas,2014,288,38511,7.48,AR,2014
Arkansas,2015,293,38886,7.53,AR,2014
Arkansas,2016,314,38274,8.2,AR,2014
Arkansas,2017,304,37520,8.1,AR,2014
Arkansas,2018,278,37018,7.51,AR,2014
Arkansas,2019,256,36564,7,AR,2014
Arkansas,2020,260,35251,7.38,AR,2014
Arkansas,2021,309,35965,8.59,AR,2014
Arkansas,2022,272,35471,7.67,AR,2014
California,2009,2590,527020,4.91,CA,2014
California,2010,2417,510198,4.74,CA,2014
California,2011,2403,502120,4.79,CA,2014
California,2012,2244,503755,4.45,CA,2014
California,2013,2354,494705,4.76,CA,2014
California,2014,2173,502879,4.32,CA,2014
California,2015,2178,491748,4.43,CA,2014
California,2016,2063,488827,4.22,CA,2014
California,2017,1981,471658,4.2,CA,2014
California,2018,1917,454920,4.21,CA,2014
California,2019,1889,446479,4.23,CA,2014
California,2020,1648,420259,3.92,CA,2014
California,2021,1713,420608,4.07,CA,2014
California,2022,1724,419104,4.11,CA,2014
Colorado,2009,428,68628,6.24,CO,2014
Colorado,2010,392,66355,5.91,CO,2014
Colorado,2011,358,65055,5.5,CO,2014
Colorado,2012,297,65187,4.56,CO,2014
Colorado,2013,333,65007,5.12,CO,2014
Colorado,2014,315,65830,4.79,CO,2014
Colorado,2015,310,66581,4.66,CO,2014
Colorado,2016,317,66613,4.76,CO,2014
Colorado,2017,289,64382,4.49,CO,2014
Colorado,2018,299,62885,4.75,CO,2014
Colorado,2019,305,62869,4.85,CO,2014
Colorado,2020,295,61494,4.8,CO,2014
Colorado,2021,314,62949,4.99,CO,2014
Colorado,2022,283,62383,4.54,CO,2014
Connecticut,2009,216,38896,5.55,CT,2014
Connecticut,2010,200,37708,5.3,CT,2014
Connecticut,2011,192,37281,5.15,CT,2014
Connecticut,2012,192,36539,5.25,CT,2014
Connecticut,2013,173,36085,4.79,CT,2014
Connecticut,2014,175,36285,4.82,CT,2014
Connecticut,2015,202,35746,5.65,CT,2014
Connecticut,2016,172,36015,4.78,CT,2014
Connecticut,2017,159,35221,4.51,CT,2014
Connecticut,2018,146,34725,4.2,CT,2014
Connecticut,2019,150,34258,4.38,CT,2014
Connecticut,2020,145,33460,4.33,CT,2014
Connecticut,2021,166,35670,4.65,CT,2014
Connecticut,2022,150,35332,4.25,CT,2014
Delaware,2009,92,11559,7.96,DE,2014
Delaware,2010,85,11364,7.48,DE,2014
Delaware,2011,100,11257,8.88,DE,2014
Delaware,2012,84,11023,7.62,DE,2014
Delaware,2013,69,10831,6.37,DE,2014
Delaware,2014,74,10972,6.74,DE,2014
Delaware,2015,102,11166,9.13,DE,2014
Delaware,2016,86,10992,7.82,DE,2014
Delaware,2017,68,10855,6.26,DE,2014
Delaware,2018,63,10621,5.93,DE,2014
Delaware,2019,68,10562,6.44,DE,2014
Delaware,2020,53,10392,5.1,DE,2014
Delaware,2021,50,10482,4.77,DE,2014
Delaware,2022,81,10816,7.49,DE,2014
Florida,2009,1527,221394,6.9,FL,
Florida,2010,1397,214590,6.51,FL,
Florida,2011,1379,213414,6.46,FL,
Florida,2012,1306,213148,6.13,FL,
Florida,2013,1322,215407,6.14,FL,
Florida,2014,1344,219991,6.11,FL,
Florida,2015,1399,224269,6.24,FL,
