"DISTID","year","treated_2011","treated_2012","treated_2013","treated_ever","treated_always","newcourt_11","newcourt_13","newcourt_12","withdraw_12","withdraw_13","wdl_12_est_13","cohort","DF","IED_Explosion","intim_threat","intim_violent","totalcas","aog_no_ied","land_dispute","ied","aog","imf","operation","dispute","crime","protest","drugs","total","n_fob","NATO","USA","pop","ipop","security_index_total","pg_index_total","gov_index_total","security_index_2","recruit_bn","recruit","treated","gov_index2","return_good","dispute_court","gov_influence","NA_data"
101,2008,0,0,0,0,0,0,0,0,0,0,0,10000,15,22,2,1,7,9,0,28,10,17,26,3,33,30,14,410,5,0,5,NA,2854507,-0.181678456660732,-1420.03973732315,-1.07851444467976,0.025566962274719,1,1,0,-1.07498722659239,NA,NA,0.775,0.80712562578691
101,2009,0,0,0,0,0,0,0,0,0,0,0,10000,14,45,4,1,13,27,1,58,32,43,26,1,19,41,32,501,7,1,6,NA,2927356,0.315470053340966,-1420.04016191494,-0.104968858037878,0.222907218543053,1,3,0,-0.110581676660004,0.157212317666126,0.733333333333333,0.721504112808461,0.80712562578691
101,2010,0,0,0,0,0,0,0,0,0,0,0,10000,33,17,2,1,15,76,3,26,80,29,54,5,12,44,7,459,7,7,0,3000204.79223633,3000205,0.686471480406469,-1420.04013579164,0.713272338013097,0.651704664112459,1,1,0,0.707153880432287,0.191860465116279,0.706418383518225,0.754220651747153,0.80712562578691
101,2011,0,0,0,0,0,0,0,0,0,0,0,10000,35,20,7,0,24,101,2,32,111,47,91,25,25,44,23,535,14,14,0,NA,3083120,0.499394434628215,-1420.04000801165,0.0619503845234432,0.430014949356451,1,5,0,0.0581495025587468,0.124423963133641,0.547918683446273,0.724624348359399,0.80712562578691
101,2012,0,0,0,0,0,0,0,0,0,0,0,10000,25,21,4,0,11,52,5,30,61,15,63,35,75,47,39,626,16,16,0,NA,3166035,0.7598907344001,-1420.04012428816,0.63966540370792,0.749673194808003,1,4,0,0.627786067979108,0.131009094846254,0.693609022556391,0.886621315192744,0.80712562578691
101,2013,0,0,0,0,0,0,0,0,0,0,0,10000,30,43,14,0,25,80,4,50,91,25,51,48,49,38,61,653,16,16,0,NA,3248950,0.718694076965495,-1420.04016760774,1.07723580478919,0.716806714860744,1,1,0,1.06600136463677,0.136232376422626,0.757585644371941,0.890665374677003,0.80712562578691
101,2014,0,0,0,0,0,0,0,0,0,0,0,10000,39,105,8,0,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15,0,NA,3331865,0.632716551794063,-1420.04023518773,0.80870505920868,0.626145425699633,1,1,0,0.801352600153189,0.0891954916439953,0.730162832773326,0.897243577723608,0.80712562578691
102,2008,0,0,0,0,0,0,0,0,0,0,0,10000,6,2,2,0,1,1,0,3,1,1,0,0,1,0,0,8,0,NA,NA,NA,65775,0.389549219074532,-1419.03927689859,-1.59841337987923,0.423814806620746,0,0,0,-1.57124262593752,NA,NA,0.4,0.854429985274011
102,2009,0,0,0,0,0,0,0,0,0,0,0,10000,3,5,1,0,1,2,0,8,2,3,1,0,0,0,0,20,1,0,1,NA,67450,0.72736729911588,-1419.03939039276,-0.635951475403118,0.708770245368992,1,4,0,-0.657770210994184,0.179487179487179,0.325,0.897959183673469,0.854429985274011
102,2010,0,0,0,0,0,0,0,0,0,0,0,10000,4,0,0,0,1,9,0,2,10,2,4,0,0,1,0,31,0,NA,NA,69126.101726532,69126,1.09953068147582,-1419.03937207868,-0.453764076827343,1.10983914814186,0,0,0,-0.466186607354579,0.253164556962025,0.341772151898734,0.875,0.854429985274011
102,2011,0,0,0,0,0,0,0,0,0,0,0,10000,4,2,3,0,4,18,3,5,18,12,15,3,0,1,0,54,0,NA,NA,NA,71033,-0.195439348015669,-1419.03955505655,-2.2104513352798,-0.33986029350053,0,0,0,-2.20684904347996,0.298245614035088,0.596899224806202,0.854961832061069,0.854429985274011
102,2012,0,0,0,0,0,0,0,0,0,0,0,10000,4,0,0,0,1,2,0,3,2,0,2,0,0,0,1,25,0,NA,NA,NA,72940,0.662101344510966,-1419.0396380617,1.65159163624193,0.592032306885406,0,0,0,1.62620888891388,0.145631067961165,0.764705882352941,0.990291262135922,0.854429985274011
102,2013,0,0,0,0,0,0,0,0,0,0,0,10000,4,4,0,0,2,3,0,3,3,3,6,0,1,3,1,34,0,NA,NA,NA,74847,0.733278381051354,-1419.0394661697,0.520229291880024,0.797333367916752,1,1,0,0.508785243759096,0.320754716981132,0.688073394495413,0.973214285714286,0.854429985274011
102,2014,0,0,0,0,0,0,0,0,0,0,0,10000,5,5,1,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,76755,1.26476318506639,-1419.03977465406,1.07489163085152,1.23410110114347,1,1,0,1.05910792709692,0.244444444444444,0.629032258064516,0.989583333333333,0.854429985274011
103,2008,0,0,0,0,0,0,0,0,0,0,0,10000,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,NA,NA,NA,45308,NA,-1418.03994244171,-0.15632966217733,0.805362717847792,0,0,0,-0.154047291456232,NA,NA,0.55,0.92093253968254
103,2009,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,6,0,NA,NA,NA,46464,0.679471867027461,-1418.03960741843,-0.969046702120397,0.709876097338822,0,0,0,-0.99369120158447,0,0.55,0.983333333333333,0.92093253968254
103,2010,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,5,0,NA,NA,47620.331817627,47620,2.49929778734689,-1418.03969641752,0.563326417977347,2.33297321333192,0,0,0,0.526838662958168,0.5,0.15,1,0.92093253968254
103,2011,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,3,0,1,2,0,0,0,0,9,0,NA,NA,NA,48936,-0.372812581352948,-1418.03936759156,-0.946134810900887,-0.152780488445834,0,0,0,-0.94494563126718,0.285714285714286,0.178571428571429,1,0.92093253968254
103,2012,0,0,0,0,0,0,0,0,0,0,0,10000,1,1,0,0,1,1,0,1,1,0,2,0,0,0,0,6,0,NA,NA,NA,50252,1.42850754959247,-1418.03958951864,-0.117941254216614,1.41711947873067,0,0,0,-0.135469121208144,0.204545454545455,0.458333333333333,0.958333333333333,0.92093253968254
103,2013,0,0,0,0,0,0,0,0,0,0,0,10000,3,1,0,0,2,0,0,2,0,0,0,2,0,1,0,6,0,NA,NA,NA,51569,1.03788972011087,-1418.03968838135,0.14964988302858,1.07751394038337,0,0,0,0.135200173623813,0.0869565217391304,0.385416666666667,0.96875,0.92093253968254
103,2014,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,52885,1.01527459971879,-1418.0401089226,0.169460045327242,0.933593083021224,0,0,0,0.146012157958465,0.0277777777777778,0.553571428571429,0.986111111111111,0.92093253968254
105,2008,0,0,0,0,0,0,0,0,0,0,0,10000,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5,0,NA,NA,NA,67162,NA,-1416.03954043688,-1.79448184144742,1.01322792802989,0,0,0,-1.79309947783871,NA,NA,1,0.913801995745135
105,2009,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,13,0,NA,NA,NA,68859,-0.163202154332178,-1416.03954989039,-1.58802720414366,-0.170156057668395,1,1,0,-1.60677107700401,NA,NA,0.983333333333333,0.913801995745135
